Code,Term,RegionalTerm,Short_definition,Long_definition,Name English
ED-9.3,kaPajavidradhiH,कफजविद्रधिः,-,"the disorder is characterized by śarāvasadr̥śaḥ [like an earthen saucer], pāṇḍuḥ [pallor], śītaḥ/śītakaḥ [cold], stabdhaḥ [stiffness], alpavēdanaḥ [mild pain], cirōtthānaprapākaḥ [develops slowly and suppurates after a long time], sitāsrāvaḥ.śvētasrāvaḥ [whitish discharge], picchilasrāvaḥ [slimy discharge], bahalasrāvaḥ [profuse discharge], bahusrāvaḥ [excessive/copious discharge], kaṇḍū/kaṇḍūyutaḥ [itching], jr̥mbhā [yawning], utklēśaḥ [nausea/provocation of dōṣa], aruciḥ [tastelessness], gauravaḥ [heaviness]",vidradhī due to kapha
ED-9.4,sAnnipAtajavidradhiH,सान्निपातजविद्रधिः,-,"the disorder is characterized by nānāvarṇam [variegated colouration], nānārujā [vartious type of pain], nānāsrāvaḥ [associated with varied discharges], ghāṭālō [markedly raised, uneven and extensive], viṣamō [irregular nature], mahān [broad/extensive], viṣama-pākaḥ [suppurates irregularly], saṁkīrṇaḥ [mixed features]",vidradhī due to three dōṣa
ED-9.5,raktajavidradhiH,रक्तजविद्रधिः,-,"the disorder is characterized by kr̥ṣṇasphōṭavr̥taḥ [covered by black blisters], śyāvavarṇam [blackish discolouration], tīvradāhaḥ [severe burning sensation], rujākaraḥ [painful], jvaraḥ [fever], pittavidradhiliṅgam [features of paittika abscess], pakvōdumbarasaṅkāśaśōphaḥ [swelling resemble ripe udumbara/fig fruit], śyāvavarṇaśōphaḥ/asitaśōphaḥ [blackish colour of swelling], jvaraḥ [fever], dāhayutaḥ (dāhavān) [produces burning sensation], kṣiprōtthānaprapākaḥ [has a quick onset and suppuration], pītasrāvaḥ [yellowish discharge], tilasannibhasrāvaḥ [discharge resembling tila (sesame seeds)], māṣasannibhasrāvaḥ [discharge resembling māṣa (black gram)], kulatthōdakasannibhasrāvaḥ [discharge resembling kulatthōdakaḥ], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], raktaśōphaḥ [reddish swelling], tāmraśōphaḥ [coppery coloured swelling]",vidradhī due to of rakta
ED-9.6,bAhyavidradhiH,बाह्यविद्रधिः,-,"the disorder is characterized by kaṇḍarābha [resembles tendon], mahārujā [severe pain]",external vidradhī
ED-9.7,antarvidradhiH,अन्तर्विद्रधिः,-,"the disorder is characterized by bāhyavidradhilakṣaṇam [clinical features similar to those of external abscesses], kaṇḍarābha [resembles tendon], mahārujā [severe pain], valmīkavatsamunnaddham [resembling the shape of anthill], gulmarūpiṇam [resembling gūlma]",internal vidradhī
ED-9.7.10,klomajavidradhiH,क्लोमजविद्रधिः,-,-,pancreatic-vidradhī /supra renal vidradhī
ED-9.7.2,bastijavidradhiH,बस्तिजविद्रधिः,-,-,bladder-vidradhī
ED-9.7.3,nABividradhiH,नाभिविद्रधिः,-,-,naval-vidradhī
ED-9.7.4,kukShividradhiH,कुक्षिविद्रधिः,-,-,abdominal-vidradhī
ED-9.7.5,va~gkShaNaja-vidradhiH,वङ्क्षणज-विद्रधिः,-,-,inguinal-vidradhī
ED-9.7.7,plIhajavidradhiH,प्लीहजविद्रधिः,-,-,spleenic-vidradhī
ED-9.7.8,hRud-vidradhiH/hRudaya-vidradhiH,हृद्-विद्रधिः/हृदय-विद्रधिः,-,-,precordial-abscess
ED-9.8,kShataja vidradhiH/Agantuja-vidradhiH,क्षतज विद्रधिः/आगन्तुज-विद्रधिः,-,"the disorder is characterized by jvaraḥ [fever], tr̥ṣṇā [thirst], dāhaḥ [burning sensation], pittavidradhilakṣaṇam [has the clinical features of a paittika abscess], pakvōdumbarasaṅkāśaśōphaḥ [swelling resemble ripe udumbara/fig fruit], śyāvavarṇaśōphaḥ/asitaśōphaḥ [blackish colour of swelling], jvaraḥ [fever], dāhayutaḥ (dāhavān) [produces burning sensation], kṣiprōtthānaprapākaḥ [has a quick onset and suppuration], pītasrāvaḥ [yellowish discharge], tilasannibhasrāvaḥ [discharge resembling tila (sesame seeds)], māṣasannibhasrāvaḥ [discharge resembling māṣa (black gram)], kulatthōdakasannibhasrāvaḥ [discharge resembling kulatthōdakaḥ], tr̥ṣṇā [thirst], mōhaḥ [confusion/delirium], madaḥ [intoxication], raktaśōphaḥ [reddish swelling], tāmraśōphaḥ [coppery coloured swelling]",vidradhī due to trauma/exogenous-vidradhī
ED-9.9,UrdhvajavidradhiH,ऊर्ध्वजविद्रधिः,-,-,upper body-vidradhī
EDA,Vaḷi,வளி,Digestive disorder classified under vali,,
EDA1.1,Kōl Mānta Nōy,கோல் மாந்த நோய்,Digestive disorder associated with rigidity in body,"It is characterised by unbearable abdominal pain, excessive thirst, goose flesh on the body, viscous sweating, dyspnoea, change of body colour, stuffy ear, unable to bend forward. It is explained by increase of vali and then Aẕal. Among the seven Uṭaṟtātu",
EDB,Aẕal,அழல்,Digestive disorder classified under Azhal,,
EDB1.1,Nañcu Mānta Nōy,நஞ்சு மாந்த நோய்,Indigestion due to food poison,"It is characterised by abdominal pain, giddiness, nausea, hyperacdidity, vomiting, diarrhoea, unbearable pain in abdomen. It is explained by increase of Aẕal and increased vali.Among the seven Uṭaṟtātukkaḷ, Cāram, Cennīr and Koẕuppu get affected.",
EDC,Aiyam,ஐயம்,Digestive disorder classified under Aiyam,,
EDC1.1,Aiya Mānta Nōy,ஐய மாந்த நோய்,Digestive disorder due to derrangement of aiyam,"It is characterised by painful bowel movements, abdominal pain, dyspnoea, excessive salivary secretion, dryness of tongue and excessive thirst. It is explained by increase of vali and then aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, seneer and Koẕuppu get",
EE,"mAMsavahasrotovikAraH, Niṇak Kaẕiccal","मांसवहस्रोतोविकारः, நிணக் கழிச்சல்","-, Dysentry",-,disorders of maMsavahasrOtas
EE-2.1,vAtaja-arbudaH,वातज-अर्बुदः,-,"the disorder is characterized by accham asram (srāvaḥ) (bhinnē) [discharging transperent blood on bursting], āyamyatē [associated with stretching], kr̥ṣṇa-granthiḥ [black swelling], amr̥du-grathiḥ [swelling which is not soft/hard swelling], tudana (tudyatē) [associated with pricking sensation], pratyasyatē [a feeling of being thrown away], bastirivātataḥ/mr̥du bastirivānaddhaḥ [distended like a basti/urinary bladder], mr̥du bastirivātataḥ/mr̥du bastirivānaddhaḥ [soft swelling as bladder], bhidyatē [a feeling of being torn down], mathyati [a feeling of being churned up], amr̥du-grathiḥ [swelling which is not soft/hard swelling], vr̥ścyati [cutting type of pain], sthānāt sthānantara sthānāt sthānantara gatiḥ [moving from one site to another], akasmāt vr̥ddhi akasmāt vr̥ddhi hāniḥ [sudden regression or progression], vyathyatē [severe distress]",arbuda due to vāta
EE-2.2,pittaja-arbudaH,पित्तज-अर्बुदः,-,"the disorder is characterized by atīvōṣṇāsra-srāvaḥ (bhinnē) [profuse, warm, and bloody discharge ( on bursting)], dāhaḥ (dandahyatē) [severe burning], dhūpyati [fuming sensation], pacyatē pākaḥ (pāpacyatē)/pacyatē drutam [quick suppuration], pīta (-varṇa-)grathiḥ [yellow swelling], prajvalanam [a feeling of being burnt up], rakta (-varṇa-)grathiḥ [reddish swelling], cūṣyatē [sucking type of pain], pakvaḥ pūyaṁ sravēd ghanampakvaḥ pūyaṁ sravēd ghanam/śukla-ghana-pūya-srāvaḥ (bhinnē) [suppurated pus discharge which is thick/whitish pus discharge on bursting]",arbuda due to pitta
EE-2.3,kaPaja-arbudaH,कफज-अर्बुदः,-,"the disorder is characterized by atikaṇḍūyuta- granthiḥ [swelling with excessive itching], alparujā granthiḥ/nīrujaḥ [mild pain/painless], avivarṇa- granthiḥ/śarīra samāna varṇa granthiḥ [goat coloured swelling/body coloured], śarīra samāna varṇa avivarṇa- granthiḥ/śarīra samāna varṇa granthiḥ [goat coloured swelling/body coloured], cirābhivr̥ddhaḥ [increases over a long period of time], pāṣāṇavat saṁhananōpapannaḥ granthiḥ/ghanaḥ [swelling has the consistency of a stone], śītaḥ(sparśaḥ) granthiḥ [swelling cold on touch]",arbuda due to kapha
EE-2.4,raktaja-arbudaH,रक्तज-अर्बुदः,-,"the disorder is characterized by ajasra-rudhirapravr̥ttiḥ [profuse bleeding], apākaḥ (māṁsapiṇḍaḥ) [non-suppurative], āśuvr̥ddhiḥ (māṁsapiṇḍasya) [rapid growth], unnahyati [elevated], padmākāra-śōthaḥ (tālumadhyē) [larger in size], pāṇḍuḥ [pallor], māṁsāṅkurairacita-māṁsapiṇḍam [fleshy projections forming bulky growth], sāsrāvaḥ [with discharge]",arbuda due to rakta
EE-2.5,mAMsaja-arbudaH,मांसज-अर्बुदः,-,"the disorder is characterized by snigdhaṁ [unctuous], mahantaṁ [large in size], kaṭinaṁ [hard in nature], sirānadhdaṁ [covered with sirā/venous plexus], ananyavarṇam [same colour as skin], apākam [not suppurating], aśmōpamam [hard like a stone], apracālyam [fixed swelling], avēdanam [painless]",arbuda afflicting māṁsa
EE-2.6,medoja-arbudaH,मेदोज-अर्बुदः,-,"the disorder is characterized by arujaḥ (granthiḥ) [painless], kaṇḍūyutaḥ (granthiḥ) [swelling associated with itching sensation], piṇyāka-sarpiḥpratima-srāvaḥ (bhinnē) [on bursting discharge comes out resembling an oil cake or ghee], mahān (granthiḥ) [large swelling], śarīravr̥ddhi-kṣayavr̥ddhi-hāniḥ (granthēḥ) [swelling increases or decreases according to increase or decrease ofbody], snigdham [unctuous], mr̥du [soft], calam [mobile], ghana tāmra sita asita mēda srāvḥ ghana tāmra sita asita mēda srāvḥ bhinnē [on bursting fat discharge which is thick, coppery, white or black colour], kaṇḍūyutaḥ (granthiḥ) [swelling associated with itching sensation]",arbuda afflicting medo
EE-2.7,adhyarbudaH/dvirarbudaH,अध्यर्बुदः/द्विरर्बुदः,-,the disorder is characterized by anyat pūrvajātē janma [grows over the pre-existing one],paired-arbuda
EE-3.1,arSa-pUrvarUpam,अर्श-पूर्वरूपम्,-,-,prodromes of arśas
EE-3.10 (SM53),sahaja-arSaH,सहज-अर्शः,-,-,Congenital haemorrhoid disorder (TM2) ⇒
EE-3.11,uttarakAlaja-arSaH,उत्तरकालज-अर्शः,-,-,acquired arśas
EE-3.12,asAdhya-arSaH,असाध्य-अर्शः,-,-,intractable arśas
EE-3.13 (SM7Y),nABija-arSaH,नाभिज-अर्शः,-,-,Umbilical polyp disorder (TM2) ⇒
EE-3.15,mukhArSaH,मुखार्शः,-,-,buccal-arśas
EE-3.17,arSa-upadravaH,अर्श-उपद्रवः,-,-,complications of arśas
EE-3.18,arSa-ariShTalakShaNam,अर्श-अरिष्टलक्षणम्,-,-,fatal signs of arśas
EE-3.2,SuShka-arSaH,शुष्क-अर्शः,-,-,non-exudative arśas
EE-3.3,Ardra-arSaH,आर्द्र-अर्शः,-,-,exudative arśas
EE-3.4 (SM53),vAtaja-arSaH,वातज-अर्शः,-,-,Haemorrhoid disorder due to Vata (TM2) ⇒
EE-3.5 (SM53),pittaja-arSaH,पित्तज-अर्शः,-,-,Haemorrhoid disorder due to Pitta (TM2) ⇒
EE-3.6 (SM53),kaPaja-arSaH,कफज-अर्शः,-,-,Haemorrhoid disorder due to Kapha (TM2) ⇒
EE-3.7 (SM53),raktaja-arSaH,रक्तज-अर्शः,-,-,Haemorrhoid disorder due to blood (TM2) ⇒
EE-3.7.1,vAtAnubandharakta-arSaH,वातानुबन्धरक्त-अर्शः,-,-,raktārśa associated with vāta
EE-3.7.2,kaPAnubandha-raktArSaH,कफानुबन्ध-रक्तार्शः,-,-,raktārśa associated with kapha
EE-3.8,dvandvaja-arSaH,द्वन्द्वज-अर्शः,-,-,arśas due to two dōṣa
EE-3.9,sannipAtaja-arSaH,सन्निपातज-अर्शः,-,-,arśas due to three dōṣa
EE-4.1,vAtajagranthiH,वातजग्रन्थिः,-,"the disorder is characterized by āyamyatē/āyāmaḥ [feeling of stretching], vyathatē [distress], tōdaḥ [pricking pain], pratyasyatē [a feeling of being thrown away], kr̥tyatē [associated with cutting sensation], bhēdam ēti [a feeling of being torn down], kr̥ṣṇaḥ (granthiḥ)/asitaḥ [blackish swelling], amr̥duḥ (granthiḥ) [swelling which is not soft/hard swelling], bastirivātataḥ [distended like a basti/urinary bladder], bhinnaḥ sravēt accham asram [on bursting clear blood discharge], akasmāt hānivr̥ddhimān [abrupt increase and decrease in selling], mr̥duḥ (granthiḥ) [soft swelling]",granthi due to vāta
EE-4.10,asAdhya-granthiH,असाध्य-ग्रन्थिः,-,-,intractable granthi
EE-4.2,pittajagranthiH,पित्तजग्रन्थिः,-,"the disorder is characterized by dāhaḥ (dandahyatē) [severe burning], dhūpyati [fuming sensation], cuṣyatē [sucking type of pain], pākaḥ (pāpacyatē) [inflammation/suppuration], prajvalanam [a feeling of being burnt up], rakta (varṇa) (granthiḥ) [reddish swelling], pīta (varṇa) (granthiḥ) [yellow swelling], atīvōṣṇāsra-srāvaḥ (bhinnē) [profuse, warm, and bloody discharge(on bursting)], drutaṁ pacyatē [quick suppuration]",granthi due to pitta
EE-4.3,kaPajagranthiH,कफजग्रन्थिः,-,"the disorder is characterized by śītaḥ (sparśaḥ) granthiḥ [cold swelling], avivarṇa- granthiḥ [goat coloured swelling], alparujā granthiḥ [swelling with mild pain], atikaṇḍūyuta- granthiḥ/kaṇḍūmān [swelling with excessive itching], pāṣāṇavat saṁhananōpapannaḥ granthiḥ/ghanaḥ [swelling has the consistency of a stone], cirābhivr̥ddhaḥ [increases over a long period of time], śukla-ghana-pūya-srāvaḥ (bhinnē) [discharges white and thick pus on bursting], nīrujaḥ [painless micturition], savarṇaḥ [body coloured swelling]",granthi due to kapha
EE-4.6,raktajagranthiH,रक्तजग्रन्थिः,-,-,granthi due to rakta
EE-4.7,asthijagranthiH,अस्थिजग्रन्थिः,-,-,granthi due asthi
EE-4.8,mAMsajagranthiH,मांसजग्रन्थिः,-,-,granthi due to mAsMa
EE-4.9,vraNajagranthiH,व्रणजग्रन्थिः,-,-,granthi due to wounds
EE-5,mAMsapAkaH,मांसपाकः,-,-,myolysis
EE-6,mAMsapradoShajarogaH,मांसप्रदोषजरोगः,-,-,diseases due to māṁsa
EEA,Vaḷi,வளி,Dysentry classified under vali,,
EEA1.1,Vaḷi Niṇak Kaẕiccal,வளி நிணக் கழிச்சல்,Dysentry caused by increased Vali,"It is characterised by dysentry, flatulence, emaciation around mandible, pain in ribs, neck, thighs, chest, frequent diarrhoea, black coloured stools, sugar syrup consistency in stools. It is explained by increase of vali. Among the seven Uṭaṟtātukkaḷ",
EEA1.2,Oṭṭu Niṇak Kaẕiccal,ஒட்டு நிணக் கழிச்சல்,Dysentry with infections,"It is characterised by abdominal pain, pain in chest, back, costal regions, restlessness, stools appeared in different colours, cramps around umbilicus, depression. It is explained by the increase of Aẕal and vali. Among the seven Uṭaṟtātukkaḷ Cāram, se",
EEA1.3,Kuṭaṟkāl Niṇak Kaẕiccal,குடர்கால் நிணக் கழிச்சல்,Dysentry caused by increased Udanavayu,"It is characterised by dysentry associated with belching, vomiting, anorexia, thirst, and hiccup, frequent diarrhoea leads to weight loss, pallor, tiredness and cramps over the costal region. It is explained by increase of Aẕal and vali. Among the seven U",
EEA1.4,Kīẕ Vāyuk Kaẕiccal,கீழ் வாயுக் கழிச்சல்,Dysentry occuring in haeamorroids,"It is characterised by dysentry associated with indigestion, flatulence, burning sensation over the anus, anal pain and prolapse of rectum. It is explained by increase of vali. Among the seven Uṭaṟtātukkaḷ Cāram, seneer and Koẕuppu get affected.",
